"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"2";"0";"88";"1,93";"8388608";"960496";"11,45";"0";"7";"64";"44";"18"
"05.11.2015 00:05:00";"2";"0";"91";"1,99";"8388608";"1128268";"13,45";"0";"8";"64";"6";"6"
"05.11.2015 00:10:00";"2";"0";"89";"1,94";"8388608";"1190343";"14,19";"1";"8";"64";"43";"18"
"05.11.2015 00:15:00";"2";"0";"77";"1,69";"8388608";"1251580";"14,92";"0";"7";"64";"7";"6"
"05.11.2015 00:20:00";"2";"0";"88";"1,93";"8388608";"1027604";"12,25";"0";"7";"64";"43";"18"
"05.11.2015 00:25:00";"2";"0";"76";"1,66";"8388608";"1010827";"12,05";"0";"7";"64";"6";"6"
"05.11.2015 00:30:00";"2";"0";"88";"1,92";"8388608";"960496";"11,45";"0";"8";"64";"44";"18"
"05.11.2015 00:35:00";"2";"0";"78";"1,71";"8388608";"1207121";"14,39";"0";"8";"64";"6";"6"
"05.11.2015 00:40:00";"2";"0";"158";"3,45";"8388608";"2319450";"27,65";"20";"136";"64";"63";"780"
"05.11.2015 00:45:00";"2";"0";"91";"2";"8388608";"2051015";"24,45";"0";"7";"64";"7";"6"
"05.11.2015 00:50:00";"2";"0";"89";"1,94";"8388608";"1442002";"17,19";"0";"8";"64";"60";"18"
"05.11.2015 00:55:00";"2";"0";"78";"1,71";"8388608";"1089680";"12,99";"0";"7";"64";"7";"6"
"05.11.2015 01:00:00";"2";"0";"86";"1,88";"8388608";"955462";"11,39";"0";"7";"64";"43";"18"
"05.11.2015 01:05:00";"2";"0";"96";"2,11";"8388608";"1039349";"12,39";"0";"9";"64";"175";"168"
"05.11.2015 01:10:00";"2";"0";"87";"1,9";"8388608";"989017";"11,79";"0";"8";"64";"44";"18"
"05.11.2015 01:15:00";"2";"0";"76";"1,65";"8388608";"905131";"10,79";"0";"8";"64";"6";"6"
"05.11.2015 01:20:00";"2";"0";"87";"1,91";"8388608";"1056126";"12,59";"0";"7";"64";"44";"18"
"05.11.2015 01:25:00";"2";"0";"78";"1,72";"8388608";"1106457";"13,19";"0";"7";"64";"7";"6"
"05.11.2015 01:30:00";"2";"0";"86";"1,88";"8388608";"1005794";"11,99";"0";"6";"64";"43";"18"
"05.11.2015 01:35:00";"2";"0";"76";"1,67";"8388608";"938685";"11,19";"0";"7";"64";"6";"6"
"05.11.2015 01:40:00";"2";"0";"88";"1,93";"8388608";"854799";"10,19";"0";"7";"64";"44";"18"
"05.11.2015 01:45:00";"2";"0";"89";"1,95";"8388608";"1140012";"13,59";"0";"7";"64";"6";"6"
"05.11.2015 01:50:00";"2";"0";"86";"1,89";"8388608";"1341338";"15,99";"0";"8";"64";"44";"18"
"05.11.2015 01:55:00";"2";"0";"78";"1,71";"8388608";"921908";"10,99";"0";"8";"64";"7";"6"
"05.11.2015 02:00:00";"2";"0";"85";"1,85";"8388608";"804468";"9,59";"0";"7";"64";"43";"18"
"05.11.2015 02:05:00";"2";"0";"78";"1,71";"8388608";"1140012";"13,59";"0";"8";"64";"6";"6"
"05.11.2015 02:10:00";"2";"0";"90";"1,96";"8388608";"821245";"9,79";"0";"7";"64";"44";"18"
"05.11.2015 02:15:00";"2";"0";"77";"1,69";"8388608";"1106457";"13,19";"0";"7";"64";"6";"6"
"05.11.2015 02:20:00";"2";"0";"89";"1,94";"8388608";"989017";"11,79";"0";"8";"64";"44";"18"
